Timestamp,Fecha TRM,Valor COP
2026-01-26 15:13:18,23/01/2026,$ 3.630,33
2026-01-26 15:13:18,16/01/2026,$ 3.687,32
2026-01-26 15:13:18,09/01/2026,$ 3.734,67
2026-01-26 15:13:18,02/01/2026,$ 3.757,08
2026-01-26 15:13:18,26/12/2025,$ 3.706,94
2026-01-26 15:13:18,19/12/2025,$ 3.874,71
2026-01-26 15:13:18,12/12/2025,$ 3.810,99
2026-01-26 15:13:18,05/12/2025,$ 3.757,92
2026-01-26 15:13:18,28/11/2025,$ 3.773,60
2026-01-26 15:13:19,21/11/2025,$ 3.741,27
2026-01-26 15:13:19,14/11/2025,$ 3.719,60
2026-01-26 15:13:19,07/11/2025,$ 3.807,06
2026-01-26 15:13:19,31/10/2025,$ 3.870,42
2026-01-26 15:13:19,24/10/2025,$ 3.888,76
2026-01-26 15:13:19,17/10/2025,$ 3.877,07
2026-01-26 15:13:19,10/10/2025,$ 3.894,99
2026-01-26 15:13:19,03/10/2025,$ 3.897,64
2026-01-26 15:13:19,26/09/2025,$ 3.898,87
2026-01-26 15:13:19,19/09/2025,$ 3.892,45
2026-01-26 15:13:19,12/09/2025,$ 3.903,18
2026-01-26 15:13:19,05/09/2025,$ 3.991,09
2026-01-26 15:13:19,29/08/2025,$ 4.019,09
2026-01-26 15:13:19,22/08/2025,$ 4.034,18
2026-01-26 15:13:19,15/08/2025,$ 4.048,74
2026-01-26 15:13:19,08/08/2025,$ 4.049,35
2026-01-27 10:53:39,27/01/2026,3900.75
2026-01-27 10:59:17,23/01/2026,$ 3.630,33
2026-01-27 10:59:17,16/01/2026,$ 3.687,32
2026-01-27 10:59:17,09/01/2026,$ 3.734,67
2026-01-27 10:59:17,02/01/2026,$ 3.757,08
2026-01-27 10:59:17,26/12/2025,$ 3.706,94
2026-01-27 10:59:18,19/12/2025,$ 3.874,71
2026-01-27 10:59:18,12/12/2025,$ 3.810,99
2026-01-27 10:59:18,05/12/2025,$ 3.757,92
2026-01-27 10:59:18,28/11/2025,$ 3.773,60
2026-01-27 10:59:18,21/11/2025,$ 3.741,27
2026-01-27 10:59:19,14/11/2025,$ 3.719,60
2026-01-27 10:59:19,07/11/2025,$ 3.807,06
2026-01-27 10:59:19,31/10/2025,$ 3.870,42
2026-01-27 10:59:19,24/10/2025,$ 3.888,76
2026-01-27 10:59:19,17/10/2025,$ 3.877,07
2026-01-27 10:59:20,10/10/2025,$ 3.894,99
2026-01-27 10:59:20,03/10/2025,$ 3.897,64
2026-01-27 10:59:20,26/09/2025,$ 3.898,87
2026-01-27 10:59:20,19/09/2025,$ 3.892,45
2026-01-27 10:59:20,12/09/2025,$ 3.903,18
2026-01-27 10:59:21,05/09/2025,$ 3.991,09
2026-01-27 10:59:21,29/08/2025,$ 4.019,09
2026-01-27 10:59:21,22/08/2025,$ 4.034,18
2026-01-27 10:59:21,15/08/2025,$ 4.048,74
2026-01-27 10:59:21,08/08/2025,$ 4.049,35
